央视,#genre#
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 【全场回放】一号场地（赛场原声）（一） 03:00,http://119.185.70.185:1234/965751450
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 【全场回放】一号场地（英文解说）（一） 03:00,http://47.243.12.199:8880/965754405
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 【全场回放】一号场地（英文解说）（一） 03:00,http://120.4.126.153:1234/965754405
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 【全场回放】一号场地（英文解说）（一） 03:00,http://119.185.70.185:1234/965754405
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 2026BWF美国羽毛球公开赛男单半决赛回放：斯里坎特2-1冲本优大（赛场原声） 03:00,http://47.243.12.199:8880/965761108
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 2026BWF美国羽毛球公开赛男单半决赛回放：斯里坎特2-1冲本优大（赛场原声） 03:00,http://120.4.126.153:1234/965761108
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 2026BWF美国羽毛球公开赛男单半决赛回放：斯里坎特2-1冲本优大（赛场原声） 03:00,http://119.185.70.185:1234/965761108
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 2026BWF美国羽毛球公开赛Day5一号场地全场回放（赛场原声）（二） 03:00,http://47.243.12.199:8880/965761946
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 2026BWF美国羽毛球公开赛Day5一号场地全场回放（赛场原声）（二） 03:00,http://120.4.126.153:1234/965761946
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 2026BWF美国羽毛球公开赛Day5一号场地全场回放（赛场原声）（二） 03:00,http://119.185.70.185:1234/965761946
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 2026BWF美国羽毛球公开赛Day5一号场地全场回放（英文解说）（二） 03:00,http://47.243.12.199:8880/965762110
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 2026BWF美国羽毛球公开赛Day5一号场地全场回放（英文解说）（二） 03:00,http://120.4.126.153:1234/965762110
BWF 苏力扬轻取 刘广珩/许尹鏸晋级决赛 2026BWF美国羽毛球公开赛Day5一号场地全场回放（英文解说）（二） 03:00,http://119.185.70.185:1234/965762110
BIG3 洛杉矶狂潮VS达拉斯动力 全场回放（邵化谦） 03:55,http://47.243.12.199:8880/965744291
BIG3 洛杉矶狂潮VS达拉斯动力 全场回放（邵化谦） 03:55,http://120.4.126.153:1234/965744291
BIG3 洛杉矶狂潮VS达拉斯动力 全场回放（邵化谦） 03:55,http://119.185.70.185:1234/965744291
BIG3 洛杉矶狂潮VS达拉斯动力 全场回放（英文原声） 03:55,http://47.243.12.199:8880/965745026
BIG3 洛杉矶狂潮VS达拉斯动力 全场回放（英文原声） 03:55,http://120.4.126.153:1234/965745026
BIG3 洛杉矶狂潮VS达拉斯动力 全场回放（英文原声） 03:55,http://119.185.70.185:1234/965745026
世界杯 克罗地亚VS加纳 纯享版回放（鲁靖明、赵鹏、王多多、魏欣怡） 04:00,http://47.243.12.199:8880/965748460
世界杯 克罗地亚VS加纳 纯享版回放（鲁靖明、赵鹏、王多多、魏欣怡） 04:00,http://120.4.126.153:1234/965748460
世界杯 克罗地亚VS加纳 纯享版回放（鲁靖明、赵鹏、王多多、魏欣怡） 04:00,http://119.185.70.185:1234/965748460
世界杯 克罗地亚VS加纳 全场回放（鲁靖明、赵鹏、王多多、魏欣怡） 04:00,http://47.243.12.199:8880/965748955
世界杯 克罗地亚VS加纳 全场回放（鲁靖明、赵鹏、王多多、魏欣怡） 04:00,http://120.4.126.153:1234/965748955
世界杯 克罗地亚VS加纳 全场回放（鲁靖明、赵鹏、王多多、魏欣怡） 04:00,http://119.185.70.185:1234/965748955
世界杯 克罗地亚VS加纳 全场回放（夏景俊、陆毅隽） 04:00,http://47.243.12.199:8880/965748582
世界杯 克罗地亚VS加纳 全场回放（夏景俊、陆毅隽） 04:00,http://120.4.126.153:1234/965748582
世界杯 克罗地亚VS加纳 全场回放（夏景俊、陆毅隽） 04:00,http://119.185.70.185:1234/965748582
世界杯 克罗地亚VS加纳 全场回放（张天翼、洪宇青） 04:00,http://47.243.12.199:8880/965748852
世界杯 克罗地亚VS加纳 全场回放（张天翼、洪宇青） 04:00,http://120.4.126.153:1234/965748852
世界杯 克罗地亚VS加纳 全场回放（张天翼、洪宇青） 04:00,http://119.185.70.185:1234/965748852
世界杯 克罗地亚VS加纳 全场回放（AI智慧观赛） 04:00,http://47.243.12.199:8880/965749216
世界杯 克罗地亚VS加纳 全场回放（AI智慧观赛） 04:00,http://120.4.126.153:1234/965749216
世界杯 克罗地亚VS加纳 全场回放（AI智慧观赛） 04:00,http://119.185.70.185:1234/965749216
世界杯 克罗地亚VS加纳 全场回放（智能解说） 04:00,http://47.243.12.199:8880/965749317
世界杯 克罗地亚VS加纳 全场回放（智能解说） 04:00,http://120.4.126.153:1234/965749317
世界杯 克罗地亚VS加纳 全场回放（智能解说） 04:00,http://119.185.70.185:1234/965749317
世界杯 巴拿马VS英格兰 纯享版回放（苏东、李欣、冯潇霆、程思钦） 04:00,http://47.243.12.199:8880/965748410
